player_id,name,round,score,date,handicap,avg_temp,precipitation,wind_speed,day_of_week,day_of_week_int
1,Collin Morikawa,4,65,2022-10-01,-0.9,67.28,0.0,5.59,Saturday,5
2,Jordan Spieth,14,67,2019-12-27,2.2,70.34,0.3,12.3,Friday,4
3,Dylan Frittelli,8,66,2022-06-04,3.5,53.6,0.0,10.5,Saturday,5
4,Kevin Kisner,6,70,2019-07-28,4.2,55.76,0.8,9.63,Sunday,6
5,Phil Mickelson,82,83,2022-07-23,3.8,77.18,29.0,10.5,Saturday,5
6,Adam Long,1,77,2019-02-25,6.6,79.88,24.9,6.96,Monday,0
7,Garrick Higgo,1,72,2019-05-05,6.1,55.94,0.0,8.7,Sunday,6
8,Thomas Detry,1,75,2021-08-16,5.2,73.58,0.0,13.67,Monday,0
9,Rikuya Hoshino,1,75,2017-08-05,5.2,51.44,0.0,12.05,Saturday,5
10,Matt Kuchar,23,75,2020-03-08,4.0,71.6,14.7,7.58,Sunday,6
11,Jason Day,9,75,2018-07-28,4.0,79.34,0.0,12.3,Saturday,5
12,Carlos Ortiz,2,82,2020-03-08,4.8,38.84,34.5,14.29,Sunday,6
13,Alex Noren,10,77,2021-04-18,2.7,60.62,4.1,22.12,Sunday,6
14,John Catlin,1,77,2018-08-26,4.3,57.56,0.0,15.41,Sunday,6
15,Jason Scrivener,2,74,2021-07-02,4.3,53.78,0.0,12.3,Friday,4
16,Troy Merritt,2,74,2021-03-27,3.8,43.52,0.0,9.2,Saturday,5
17,Stewart Cink,43,63,2021-10-30,4.0,66.02,0.0,9.82,Saturday,5
18,Patrick Reed,16,71,2020-11-22,3.5,78.08,0.0,12.3,Sunday,6
19,Patrick Cantlay,5,81,2020-12-05,3.4,48.92,16.3,11.43,Saturday,5
20,Matt Jones,11,78,2021-01-17,4.0,38.3,17.0,10.31,Sunday,6
21,Lucas Herbert,1,76,2018-07-26,3.8,72.86,16.5,12.99,Thursday,3
22,Gary Woodland,17,76,2020-03-10,4.0,60.44,11.9,5.59,Tuesday,1
23,Erik van Rooyen,5,70,2021-02-04,3.4,77.9,0.0,10.75,Thursday,3
24,Charley Hoffman,1,76,2017-05-12,5.1,57.38,5.3,11.62,Friday,4
25,Brendon Todd,3,73,2018-03-18,3.3,49.46,0.0,6.96,Sunday,6
26,Branden Grace,29,72,2021-10-15,4.6,61.52,0.0,10.5,Friday,4
27,Victor Perez,2,69,2020-07-02,3.4,76.46,0.0,8.08,Thursday,3
28,Tyrrell Hatton,8,75,2018-10-04,3.6,62.24,1.3,11.62,Thursday,3
29,Takumi Kanaya,2,69,2020-04-24,3.4,50.9,0.0,9.38,Friday,4
30,Ryan Palmer,8,74,2018-10-28,4.3,72.68,42.9,9.38,Sunday,6
31,Russell Henley,15,68,2021-02-04,5.1,74.66,0.0,7.15,Thursday,3
32,Martin Kaymer,22,77,2020-10-13,5.1,67.1,32.8,8.51,Tuesday,1
33,Marc Leishman,28,74,2022-07-09,3.5,59.18,0.0,13.17,Saturday,5
34,Keegan Bradley,16,71,2021-05-05,4.1,60.08,0.0,12.3,Wednesday,2
35,Harold Varner III,2,68,2021-09-11,3.4,68.54,0.0,8.51,Saturday,5
36,Guido Migliozzi,1,72,2017-11-25,3.4,67.46,1.0,12.3,Saturday,5
37,Chris Kirk,8,68,2022-07-03,3.9,60.8,0.0,13.86,Sunday,6
38,Viktor Hovland,1,70,2018-07-07,1.1,46.76,0.0,8.95,Saturday,5
39,Shane Lowry,18,71,2021-02-16,3.1,84.92,0.0,14.11,Tuesday,1
40,Emiliano Grillo,12,68,2021-12-02,4.3,68.54,0.0,8.51,Thursday,3
41,Tony Finau,15,69,2021-03-21,2.3,69.62,7.4,9.63,Sunday,6
42,Paul Casey,30,69,2019-10-12,3.9,79.34,3.6,12.99,Saturday,5
43,Corey Conners,5,66,2021-03-21,2.9,69.08,0.0,9.63,Sunday,6
44,Webb Simpson,33,68,2022-04-24,4.1,78.26,3.3,15.22,Sunday,6
45,Sergio Garcia,17,69,2018-03-18,4.0,62.24,0.3,13.42,Sunday,6
46,Kevin Streelman,7,72,2019-10-06,4.7,52.52,3.8,12.3,Sunday,6
47,Brian Harman,12,66,2022-01-10,4.0,52.16,0.0,14.11,Monday,0
48,Xander Schauffele,5,72,2019-03-17,2.5,63.86,1.0,15.41,Sunday,6
49,Jason Kokrak,1,76,2018-02-12,2.7,65.84,6.9,20.13,Monday,0
50,Ian Poulter,44,73,2021-10-25,3.5,64.58,0.0,10.94,Monday,0
51,Cameron Tringale,2,70,2017-11-19,2.7,54.32,0.0,15.91,Sunday,6
52,Andy Sullivan,12,65,2021-09-05,3.0,87.08,0.0,13.17,Sunday,6
53,Louis Oosthuizen,6,62,2018-03-17,3.2,74.12,0.0,8.26,Saturday,5
