Year,Name,Course,Yards,Par,Open.Position,Integer.Position,Position.Grouping,Open.R1,Open.R2,Open.R3,Open.R4,Open.Score,cut,World.Ranking,WR.Average,ApproachTheGreenGIR.,AroundTheGreenSS.,MoneyFinishTop10,MoneyMoneyFinishTop10_1st,MoneyMoneyFinishTop10_2nd,MoneyMoneyFinishTop10_3rd,DrivingAcc.,DrivingDistAVG,BirdOrBetterConversion.,PuttsPerRoundAVG,BirdieAVG,EagleHoleFreq,Par3BirdOrBetter.,Par4BirdOrBetter.,Par5BirdOrBetter.,AVGRoundUnderPar.,Round3AVG,ScoringAVG,ScoringAVGActual,ScoringAVGBeforeCut,TotalBirdie,TotalEagle,BirdieToBogeyRatio,BogeyAVGPerRound,BogeyAvoidance_MakesBogey.,BounceBack.,PAR3AVG,PAR4AVG,PAR5AVG,Par5EaglesTotal,Round4AVG,StrokeDifferential,BirdieConversionAVG,GIR.FromFairway,Scramble.,X1PuttsPerRoundAVG,X2PuttsPerRoundAVG,X3PuttsPerRoundAVG,X3PuttAvoidance,X1Put.,PuttingAVG,Round1AVG,Round2AVG,ApproachFromInside100Yard,BirdieOrBetter.Rough,GIR.FromFairwayBunker,GIR.From100y,GIR.From200y,GIR.FromInside100y,GIR.FromNonFairway,ProxHoleFromOtherAVG,ProxHoleFromRoughAVG,ProxHoleAVG,FairwayBunkerFromTee.,GoodDriveOffTee.,FairwayFromTee.,MissedFairwayFromTee.,BirdiePuttDist.,EaglePuttDist.,ScoringBirdieOrBetter.,SameOrImprovedFinalRound.,TOP10SameOrImprovedFinalRound.,ApproachFromInside100YAVG,ApproachGreater100YAVG,ApproachGreater100YRoughAVG,ApproachGreater200YAVG,ApproachGreater200YRoughAVG,ApproachGreater275YAVG,ApproachGreater275YRoughAVG,ProximityFromRoughAVG,DistanceOfPuttAVG,SGAroundTheGreenAVG,SGOffTheTeeAVG,SGTeeToGreenAVG,SGTeeToGreenAVGOTT,SGTeeToGreenAVGAPR,SGTeeToGreenAVGARG,SGTeeToGreenAVGPUTT,SGTotalAVG,BirdOrBetterFromFairway.
2021,Collin Morikawa,Royal St Georges,7189,70,1,1,1,67,64,68,66,265,1,4,7.3352,70.8,53.93,8,2,1,0,69.6,295.2,32.66,29,4.23,234,15.71,18.54,51.56,23.93,69.78,70.109,69.69,69.57,330,6,1.69,2.32,14.17,25.4,3.03,3.98,4.55,5,69.89,1.18,32.66,80.13,57.56,7.05,10.36,0,2.28,39.17,1.611,70.19,68.95,"34' 2""",15.24,50.9,66.6,47.9,89.61,54.22,"6' 4""","7' 8""","7' 11""",5.7,86.81,69.37,3.57,"8' 3""","11' 11""",23.93,61.11,57.1,"15' 8""","30' 2""","47' 6""","49' 6""","70' 9""","89' 10""","93' 6""","46' 3""","70' 7""",0.077,0.281,1.528,0.281,1.17,0.077,-0.457,1.071,26.16
2021,Jordan Spieth,Royal St Georges,7189,70,2,2,1,65,67,69,66,267,1,22,4.2945,64.58,55.93,9,1,2,2,53.92,299.5,36.06,28.05,4.3,105.6,16.48,19.81,50,24.81,68.95,70.118,69.94,69.92,378,15,1.56,2.58,15.91,22.08,3.06,3.99,4.55,11,71,1.25,36.06,79.88,61.32,7.78,9.41,0.01,2.65,43.24,1.558,70.17,69.67,"23' 6""",16.72,51.8,58.47,41.45,83.55,50.97,"6' 8""","9' 1""","8' 4""",8.4,78.79,52.41,6.49,"9' 3""","21' 9""",24.81,70,77.8,"14' 9""","35' 10""","48' 6""","55' 4""","71' 5""","82' 0""","86' 6""","44' 9""","77' 2""",0.407,-0.091,0.68,-0.091,0.365,0.407,0.389,1.069,28.21
2021,Dylan Frittelli,Royal St Georges,7189,70,5,5,1,66,67,70,68,271,1,94,1.477,64.04,50.93,3,0,0,0,51.9,309.3,28.31,29.24,3.39,324,11.22,14.83,42.5,19.14,71.2,71.443,71.24,71.23,244,4,1.13,2.68,16.9,21.9,3.1,4.05,4.71,4,71.3,-0.2,28.31,77.12,60.3,6.96,10.22,0,3.4,38.66,1.624,71.35,71.12,"28' 11""",10.7,45,58.8,41.73,82.56,51.87,"6' 0""","8' 8""","8' 7""",7.3,77.84,52.36,8.97,"7' 9""","18' 4""",19.14,50,66.7,"15' 9""","34' 7""","47' 6""","53' 3""","72' 2""","69' 0""","78' 8""","45' 5""","66' 4""",0.312,0.029,0.009,0.029,-0.333,0.312,-0.47,-0.461,21.81
2021,Kevin Kisner,Royal St Georges,7189,70,73,73,8,70,69,78,68,285,1,48,2.5448,64.96,48.7,4,1,1,0,67.61,289.1,31.1,28.81,3.72,175.5,11.78,18.76,41.53,21.23,70.6,71.21600000000002,70.74,71.06,290,8,1.28,2.56,16.52,18.26,3.06,4.03,4.7,7,69.87,-0.06,31.1,77.2,58.54,7.22,10.14,0,2.42,40.1,1.6,70.92,71.21,"24' 9""",13.02,44.3,61.25,43.08,85.41,44.76,"6' 8""","9' 2""","9' 6""",7.3,82.94,68.16,3.85,"10' 6""","25' 10""",21.23,46.67,66.7,"17' 3""","34' 8""","49' 10""","52' 8""","66' 10""","102' 8""","101' 6""","46' 2""","78' 7""",0.085,-0.215,-0.396,-0.215,-0.266,0.085,0.392,-0.003,24.03
2021,Phil Mickelson,Royal St Georges,7189,70,CUT,90,10,80,72,0,0,152,0,31,3.2551,62.99,47.74,1,1,0,0,54.47,301.8,31.98,29.23,3.72,666,12.83,16.11,44.84,20.8,71.64,71.89699999999998,71.93,71.89,275,2,1,3.24,20.72,22.75,3.12,4.1,4.75,1,72.36,-0.6,31.98,73.21,52.94,7.16,10.01,0.01,3.75,39.79,1.624,72.39,71.39,"25' 9""",18.25,44.4,57.71,42.86,84.06,51.92,"7' 2""","8' 3""","9' 4""",6.5,78.99,53.98,5.9,"8' 9""","25' 0""",20.8,64.29,100,"15' 10""","35' 7""","49' 5""","50' 4""","76' 10""","79' 2""","110' 7""","44' 7""","74' 9""",-0.107,-0.161,-0.41,-0.161,-0.142,-0.107,-0.032,-0.442,22.61
2021,Adam Long,Royal St Georges,7189,70,CUT,90,10,72,77,0,0,149,0,90,1.5246,63.03,48.28,2,0,0,1,67.41,288.6,30.42,28.71,3.57,252,11.56,17.19,40.94,20.24,68.54,71.288,71.18,71.78,300,6,1.16,2.71,17.46,19.84,3.14,4.04,4.69,5,71.15,-0.12,30.42,74.94,57.25,7.12,10.23,0,2.12,39.55,1.595,71.48,72.07,"30' 5""",13.4,41.7,57.01,41.4,84.62,43.42,"6' 10""","7' 10""","11' 3""",6.1,82.08,67.11,2.75,"8' 8""","22' 1""",20.24,53.85,66.7,"16' 0""","34' 10""","49' 7""","54' 3""","64' 4""","83' 9""","34' 4""","46' 10""","70' 11""",-0.16899999999999998,0.109,-0.601,0.109,-0.541,-0.16899999999999998,0.14400000000000002,-0.457,20.63
2021,Garrick Higgo,Royal St Georges,7189,70,CUT,90,10,73,75,0,0,148,0,39,2.8693,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Thomas Detry,Royal St Georges,7189,70,CUT,90,10,72,74,0,0,146,0,100,1.4106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Rikuya Hoshino,Royal St Georges,7189,70,CUT,90,10,74,72,0,0,146,0,80,1.6881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Matt Kuchar,Royal St Georges,7189,70,CUT,90,10,74,72,0,0,146,0,64,2.0277,65.49,60.55,1,0,0,1,66.09,287.8,29.81,28.89,3.58,237.6,10.45,17.71,41.12,20.29,69.82,71.25,70.74,71.14,236,5,1.26,2.53,16.08,20.22,3.1,4.01,4.71,4,70.09,-0.07,29.81,75.99,57.56,7.06,10.39,0,1.94,39.23,1.605,71.77,70.5,"30' 3""",17.54,50,63.16,45.12,84.58,49.36,"7' 3""","10' 0""","8' 7""",6.6,83.15,65.65,4.28,"9' 8""","10' 10""",20.29,45.45,0,"13' 8""","34' 9""","50' 3""","55' 3""","71' 4""","89' 1""","93' 0""","47' 9""","73' 5""",0.229,-0.371,-0.095,-0.371,0.046,0.229,0.104,0.009,21.73
2021,Jason Day,Royal St Georges,7189,70,CUT,90,10,75,70,0,0,145,0,68,2.0095,66.67,46.32,3,0,0,0,61.31,300.3,28.88,29.17,3.48,292.5,11.57,14.94,43.36,19.66,69.33,70.815,70.71,71,226,4,1.33,2.38,14.79,14.81,3.06,4.04,4.64,3,71.09,0.54,28.88,77.4,61.54,7,10.51,0,2.14,38.89,1.621,70.86,71.14,"24' 11""",13.98,66.7,62.4,47.22,86.4,52.72,"6' 6""","8' 4""","8' 9""",7.4,82.04,62.03,4.29,"8' 10""","11' 5""",19.66,45.45,33.3,"16' 11""","37' 0""","54' 8""","53' 10""","90' 5""","80' 8""","106' 7""","51' 2""","72' 0""",0.312,0.442,0.711,0.442,-0.043,0.312,0.067,0.778,20.63
